code|name
EE438|DSP Applications to Electromechanical Systems
EE440|SCADA & Energy Management Systems
EE442|Robotics and Machine Vision
EE444|Utilization of Electrical Energy & Traction
EE446|Data Communication and Computer Networks
EE448|Big Data Analytics
EE450|Cloud Computing Fundamentals
EE251|Electronic Instrumentation and Measurements
EC201|Analog Electronics – I
EC203|Digital Design – I
EC205|Signals & Systems
EC207|Engineering Analysis & Design (Network Analysis and Synthesis)
EE262|Electromagnetics
EC202|Analog Electronics–II
EC204|Digital Design – II
EC206|Communication Systems
EC208|Computer Architecture
EC301|Digital Communication
EC303|Linear Integrated Circuits
HU301|Engineering Economics
EC302|VLSI Design
EC304|Digital Signal Processing
EC306|Embedded Systems
MG302|Fundamentals of Management
EC401|B. Tech Project-I
EC403|Training Seminar
EC402|B. Tech Project-II (Contd. From VII Sem.)
EC305|Semiconductor Device Electronics
EC307|Antenna Design
EC309|Bio – Medical Electronics & Instrumentation
EC311|Algorithms Design And Analysis
EC313|Microprocessors And Interfacing
EC315|Computer Communication Networks
EC317|Operating Systems
EC319|CMOS Analog Integrated Circuits
EC321|IC Technology
EC323|Control Systems
EC325|Probability and Random Process
EC327|Time – Frequency Analysis
EC329|Analog Signal Processing
EC308|Analog Filter Design
EC312|Software Defined Radio And Cognitive Radio
EC314|RF Design
EC316|Wireless Sensor Networks
EC318|RF Circuits in CMOS Technology
EC320|Soft Computing
EC322|Green Sensors
EC324|Nano Electronics
EC326|Data Converters
EC328|Speech Recognition
EC330|Digital Image Processing
EC332|Information Theory and Coding
EC334|Electronics System Design
EC336|Flexible Electronics
EC338|Design Verification
EC340|Robust Analog Circuit Design
EC342|Machine Learning
EC405|Microwave Engineering
EC407|Optical Communication
EC409|Computer Vision
EC411|Bio – Medical Signal and Image Processing
EC413|Power Electronics
EC415|System On Chip Design
EC417|CAD For VLSI Design
EC419|Memory Design
EC421|Computer And Numerical Techniques In Electromagnetics
EC423|Internet and Web Technologies
EC425|Mixed Signal Design
EC427|Mathematical Modelling & Simulation
EC429|Emerging Semiconductor Devices
EC431|MEMS and Sensor Design
EC433|Hardware Design Methodology
EC435|Quantum Electronics and Communication
EC437|Fractals and its application in electronics
EC439|Microwave integrated circuit
EC441|Radar Signal processing
EC443|RF MEMS Design and Technology
EC445|Nanophotonic Devices for Communications
EC447|Spread Spectrum Techniques and Multiple Access
EC449|Adaptive Signal Processing
EC451|Reconfigurable Computing
EC453|Statistical Signal Processing
EC455|Data Analytics
EC457|Natural Language Processing
EC459|Adaptive Filter Theory
EC461|Multi-rate Signal Processing
EC404|Wireless Communication
EC406|Autonomous Mobile Robots
EC408|Low Power VLSI Design
EC412|Machine Learning
EC414|EMC / EMI
EC416|Pattern Recognition
EC418|Estimation and Detection Theory
EC420|Cloud Computing
EC422|Robotics & Machine Vision
EC424|Fault Tolerant Computing
EC426|Distributed Computing
EC428|Neuroelectronics
EC430|Advanced Computer Architecture
EC432|Bio – Impedance Based Measurements
EC434|Fundamentals of MIMO
EC436|Advance Microwave & Antenna Design
EC438|Radar and Satellite Communication
EC440|Photonic Integrated Circuits and Communication
EC442|Microwave Digital Communication
EC444|Wavelets and its application in Antenna
EC446|RF and Microwave Active circuits
EC448|Optical Electronics for Communication Systems
EC450|Optical Networks
EC452|Optical CDMA systems
EC454|5G Wireless technologies
EC456|Wavelets in Signal Processing
EC458|Deep Learning
EC460|Computational Optimization
EC462|Recent Trends in Artificial Intelligence
EC464|Virtual Reality
EC466|Human Computer Interaction
EC468|Probabilistic Graphical Models
CE251|Building Material & Construction
EN201|Strength of Materials
EN203|Engineering & Environmental Surveying
EN205|Environmental Chemistry & Microbiology
EN207|Engineering Analysis & Design
CE252|Structural Analysis
EN202|Geotechnical Engineering
EN204|Water Engineering: Design & Application
EN206|Engineering Geology, GIS & Remote Sensing
EN208|Fluid Mechanics & Hydraulic Machines
EN301|Waste Water Engineering: Design and Applications
EN303|Instrumentation Techniques for Environmental Monitoring
HU301|Engineering Economics
EN302|Solid Waste Management
EN304|Air Pollution & Control
EN306|Hydrology & Ground Water Engineering.
MG302|Fundamentals of Management
EN401|B. Tech Project-I
EN403|Training Seminar
EN402|B. Tech Project -II
EN404|Environmental Impact Assessment & Audit
EN305|Soil Pollution & Remediation
EN307|Planning and Design of Environmental Enng. Works
EN309|Water Resources System
EN311|Climate Change & CDM
EN313|Environmental Toxicology & Risk Assessment
EN315|Ecology and Bio-monitoring Techniques
EN317|Environmental Management
EN308|Hazardous & Biomedical Waste Management
EN312|Advance Surveying
EN314|Green Technology
EN316|Environmental Law and Policy
EN318|Transportation and Traffic Engineering
EN405|Project Management
EN407|Vibration Analysis & Control of Noise Pollution
EN409|Industrial Waste Management
EN411|Occupational Hazards, Health & Safety
EN413|Water and Soil Conservation
EN415|System Simulation & Modeling
EN417|Environmental Risk Assessment
EN419|Environmental Economics
EN421|Design of water distribution network
EN404|Environmental Impact Assessment & Audit
EN406|Advanced Open Channel Hydraulics
EN408|Risk and Reliability Analysis of Environmental System
EN412|Environment and Sustainable Development
EN414|Disaster Management
EN416|Non-Conventional Energy Systems
EN418|Environmental Biotechnology
EN420|Life Cycle Assessment
EC261|Analog Electronics
IT201|Data Structures
IT203|Object Oriented Programming
IT205|Discrete Structures
IT207|Engineering Analysis and Design (Modeling & Simulation)
EC262|Digital Electronics
IT202|Database Management Systems
IT204|Operating System
IT206|Computer Organization and Architecture
IT208|Algorithm Design and Analysis
IT301|Theory of Computation
IT303|Computer Networks
HU301|Engineering Economics
IT302|Compiler Design
IT304|Software Engineering
IT306|Artificial Intelligence and Expert Systems
MG302|Fundamentals of Management
IT401|B.Tech. Project-I
IT403|Training Seminar
IT402|B.Tech. Project-II
IT305|Computer Graphics
IT307|Pattern Recognition
IT309|Information Theory and coding
IT311|Advanced Data Structures
IT313|Microprocessor & Interfacing
IT315|Distributed Systems
IT317|Soft Computing
IT319|Data Compression
IT321|Malware Analysis
IT323|Machine Learning
IT325|Secure Coding
IT308|Optimization Techniques
IT312|Cyber Forensics
IT314|Optical Networks
IT316|High Speed Networks
IT318|Advanced Database Management Systems
IT320|Multimedia System Design
IT322|Real Time System
IT324|Deep Learning
IT326|Object Oriented Software Engineering
IT328|Ethical Hacking
IT405|Data -Warehouse and Data Mining
IT407|Information and Network Security
IT409|Enterprise Java Programming
IT411|Digital Image Processing
IT413|VLSI Design
IT415|Software Project Management
IT417|High Performance Computing
IT419|Grid and Cluster Computing
IT421|Swarm Optimization & Evolutionary Computing
IT423|Computational Number Theory and Cryptography
IT425|Natural Language Processing
IT427|Intrusion Detection and Information Warfare
IT429|Cyber laws
IT431|Information Security and Audit
IT433|Multi modal data processing
IT404|Big data Analytics
IT406|Web Technology
IT408|Parallel Computer Architecture
IT412|Bio Informatics
IT414|Software Testing
IT416|Nomadic Computing
IT418|Cloud Computing
IT420|Computer Vision
IT422|Embedded Systems
IT424|Semantic Web and Web Mining
IT426|Software quality and metrics
IT428|Mobile and Digital Forensics
IT430|Speech & Natural Language Understanding
PE251|Engineering Materials & Metallurgy
ME201|Mechanics of Solids
ME203|Thermal Engineering-I
ME205|Machine Drawing and Solid Modeling
ME207|Engineering Analysis and Design
PE252|Manufacturing Machines
ME202|Thermal Engineering-II
ME204|Fluid Mechanics
ME206|Kinematics of Machines
ME208|Manufacturing Technology-I
ME301|Fluid Systems
ME303|Dynamics of Machines
MG301|Fundamentals of Management
ME302|Heat And Mass Transfer
ME304|Design of Machine Elements
ME306|Manufacturing Technology-II
HU302|Engineering Economics
ME401|B. Tech Project-I
ME403|Training Seminar
ME402|B. Tech Project-II
ME305|Design of Machine Elements
ME307|Manufacturing Technology -II
ME351|Power Plant Engineering
ME353|Renewal Sources of Energy
ME355|Thermal Systems
ME361|Industrial Engineering
ME363|Product Design & Simulation
ME365|Computational Fluid Dynamics
ME367|Finite Element Methods
ME369|Total Life Cycle Management
ME371|Value Engineering
ME308|Gas Dynamics & Jet Propulsion
ME312|Quality Management & Six Sigma Applications
ME314|Mechanical Vibrations
ME316|Power Plant Engineering
ME318|Computer Aided Manufacturing
ME320|Reliability & Maintenance Engineering
ME322|Design of Mechanical Assemblies
ME324|System modeling, simulation and analysis
ME326|Pressure vessels and Piping Technology
ME328|Composite Material Technology
ME330|Production and Operations Management
ME332|Finite Element Method
ME407|Refrigeration & Air Conditioning
ME409|Mechatronics & Control
ME411|I.C. Engines
ME413|Metrology
ME415|Project Management
ME419|Robotics & Automation
ME421|Computational Fluid Dynamics
ME423|Advanced Manufacturing Processes
ME427|Operations Research
ME429|Industrial Tribology
ME431|Non-conventional Energy Sources
ME433|Computer Integrated Manufacturing
ME435|Optimization techniques
ME404|Industrial Engineering
ME406|Elastic & Plastic Behaviour of Materials
ME408|Combustion Generated Pollution
ME412|Supply Chain Management
ME414|Fracture Mechanics
ME416|Nuclear Energy
ME418|Operations and Manufacturing Strategy
ME420|Materials management
ME422|Fuel Cell
PE261|Quantitative Techniques
AE201|Engineering Mechanics
AE203|Thermodynamics
AE205|Manufacturing Machines
AE207|Engineering Analysis and Design
EE272|Automotive Electrical and Electronics
AE202|Heat and Mass Transfer
AE204|Theory of Machines
AE206|Mechanics of Solids
AE208|Material Engineering & Metallurgy
AE301|Manufacturing Technology
AE303|Fluid Mechanics And Hydraulic Machines
MG301|Fundamentals of Management
AE302|Design of Machine Elements
AE304|Internal Combustion Engines
AE306|Alternative Fuels and Energy Systems
HU302|Engineering Economics
AE401|B.Tech. Project-I
AE403|Training Seminar
AE402|B.Tech Project-II
AE305|Automotive Aerodynamics & CFD
AE307|Combustion Generated Pollution
AE309|Operation Research
AE311|Tyre Technology
AE313|Thermal Engineering
AE315|Turbo machinery and gas dynamics
AE317|Power units and transmission
AE319|Computer Simulation of I.C. Engine Process
AE321|Advanced strength of material
AE323|Finite Element Methods and Applications
AE308|Measurement and Instrumentation
AE312|Quality Management & Six Sigma Applications
AE314|Metrology
AE316|Advances in Welding & Casting
AE318|Materials for automobile components
AE320|Tribology and lubrication
AE322|Reliability & Maintenance Engineering
AE324|Elastic & Plastic Behaviour of Materials
AE326|Production Planning & Inventory Control
AE405|Design of Automobile Components
AE407|Production And Operations Management
AE409|Computer Aided Vehicle Design And Safety
AE411|Vehicle Maintenance & Tribology
AE413|Vehicle Transport Management
AE415|Power Plant Engineering
AE417|Robotics & Automation
AE419|Nuclear Energy
AE404|Computer Integrated Manufacturing Systems
AE406|Total Life Cycle Management
AE408|Refrigeration & Automobile Air Conditioning
AE412|Modern Vehicle Technology
AE414|Automobiles Vibration System Analysis
AE416|Renewable Sources of Energy
AE418|Supply Chain Management
AE420|Vehicle Safety Engineering
AE422|Packaging Technology
AE424|Mechatronics
AE426|Financial Management
AE428|Fracture mechanics
AE430|Product design and development
AE432|Tractors and Farm Equipment and Off Road Vehicles
AE434|Automobile process control
ME261|Kinematic And Dynamic Of Machines
PE201|Engineering Materials & Metallurgy
PE203|Thermal Engineering-I
PE205|Manufacturing Machines
PE207|Engineering Analysis And Design(Modeling And Simulation)
ME262|Machine Design
PE202|Thermal Engineering-II
PE204|Industrial Engineering & Operation Research
PE206|Fluid Mechanics & Machinery
PE208|Metal Cutting &Tool Design
PE301|Casting Technology
PE303|Production Planning& Control
MG301|Fundamentals of Management
PE302|Welding Technology
PE304|Precision Manufacturing
PE306|Metrology & Quality Assurance
HU302|Engineering Economics
PE401|B. Tech Project-I
PE403|Training Seminar
PE402|B. Tech Project-II
PE305|Advance Machine Design
PE307|Finite Element Method
PE309|Rapid Prototyping Tooling & Manufacturing
PE311|Sustainable Manufacturing
PE313|Design Innovation & Manufacturing
PE315|Mechatronics
PE351|Advance Machining Process
PE353|Supply Chain Management
PE355|Work Study Design
PE357|Product Design & Simulation
PE359|Total Life Cycle Management
PE361|Total Quality Management
PE308|Green Energy Technology
PE312|Automobile Engg
PE314|Manufacturing of Composite Materials
PE316|Advances in Welding
PE318|Advances in Casting
PE405|Metal Forming & Press Working
PE407|Quantitative Techniques
PE409|CNC Machine & Programming
PE411|Computer Integrated Design and Manufacturing
PE413|Robotics and Automation
PE415|Financial Management
PE417|Materials Management
PE419|Project Management
PE421|Reliability, Maintenance & Safety Engineering
PE423|Thermal Spray Technology
PE404|Total Quality Management
PE406|Manufacturing & Applications of Polymer Composites
PE408|Industrial Tribology
PE412|Supply Chain Management & Value Engineering
PE414|Flexible Manufacturing System
PE416|Work Study & Ergonomic
PE418|Advance Manufacturing Processes
EC271|Digital Electronics
SE201|Data Structures
SE203|Object Oriented Programming
SE205|Operating System
SE207|Engineering Analysis and Design(Software Engineering)
EC272|Computer System Architecture
SE202|Object Oriented Software Engineering
SE204|Machine Learning
SE206|Database Management Systems
SE208|Algorithm Design & Analysis
SE301|Software Testing
SE303|Software Quality Metrics
HU301|Engineering Economics
SE302|Empirical Software Testing
SE304|Computer Networks
SE306|Compiler Design
MG302|Fundamentals of Management
SE401|B.Tech. Project-I
SE403|Training Seminar
SE402|B.Tech. Project-II
SE305|Software Requirement Engineering
SE307|Computer Graphics
SE309|Information Theory and coding
SE311|Digital Signal Processing
SE313|Advanced Data Structures
SE315|Microprocessor & Interfacing
SE317|Distributed Systems
SE319|Soft Computing
SE321|Artificial Intelligence
SE323|Theory of Computation
SE325|Web Technology
SE327|Methods for Data Analysis
SE329|Predictive Modeling
SE333|Minor Project (Only for students who opt for Minor)
SE308|Software Reliability
SE312|Parallel Computer Architecture
SE314|Bio-Informatics
SE316|Natural Language Processing
SE318|Advanced Database Management Systems
SE320|Data Compression
SE322|Real Time Systems
SE324|Parallel Algorithms
SE326|Probability and Statistics
SE328|Business Analytics
SE409|Software Maintenance
SE411|Discrete Structures
SE413|Grid & Cluster Computing
SE415|Pattern Recognition
SE417|Agile Software Process
SE419|Cyber-Forensics
SE421|Robotics
SE423|Wireless and Mobile Computing
SE425|Intellectual Property Rights & Cyber Laws
SE427|Software Project Management
SE429|Data Warehouse & Data Mining
SE406|Advances in Software Engineering
SE408|Information & Network Security
SE412|Semantic Web and Web Mining
SE414|Cloud Computing
SE416|Big Data Analytics
SE418|Data Management and Ethics